Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size
SUV,New Range Rover P400 MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Range Rover Evoque MHEV,2022,Land Rover,Hybrid Electric,,,23.0,Automatic,2.0L
SUV,Range Rover P360 MHEV,2022,Land Rover,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,Range Rover P400 MHEV,2022,Land Rover,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,Range Rover Sport P360 MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Range Rover Sport P400 MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Range Rover Sport PHEV,2022,Land Rover,Plug-in Hybrid Electric,19.0,42.0,19.0,Automatic,2.0L
SUV,Range Rover Velar P340 MHEV,2022,Land Rover,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,Range Rover Velar P400 MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
Sedan/Wagon,ES 300h,2022,Lexus,Hybrid Electric,,,44.0,Automatic,2.5L
Sedan/Wagon,LC 500h,2022,Lexus,Hybrid Electric,,,29.0,Automatic,3.5L
Sedan/Wagon,LS 500h AWD,2022,Lexus,Hybrid Electric,,,25.0,Automatic,3.5L
SUV,NX 350h AWD,2022,Lexus,Hybrid Electric,,,39.0,Automatic,2.5L
SUV,NX 450+ AWD,2022,Lexus,Plug-in Hybrid Electric,37.0,84.0,36.0,Automatic,2.5L
SUV,RX 450h AWD,2022,Lexus,Hybrid Electric,,,30.0,Automatic,3.5L
SUV,RX 450h L AWD,2022,Lexus,Hybrid Electric,,,29.0,Automatic,3.5L
Sedan/Wagon,UX 250h,2022,Lexus,Hybrid Electric,,,42.0,Automatic,2.0L
Sedan/Wagon,UX 250h AWD,2022,Lexus,Hybrid Electric,,,39.0,Automatic,2.0L
SUV,Aviator AWD PHEV,2022,Lincoln,Plug-in Hybrid Electric,21.0,56.0,23.0,Automatic,3.0L
SUV,Corsair AWD PHEV,2022,Lincoln,Plug-in Hybrid Electric,28.0,78.0,33.0,Automatic,2.5L
Sedan/Wagon,"Air Dream P AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,471.0,116.0,,Automatic,370kW and 459kW electric motors
Sedan/Wagon,"Air Dream P AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,451.0,111.0,,Automatic,370kW and 459kW electric motors
Sedan/Wagon,"Air Dream R AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,520.0,125.0,,Automatic,198kW and 498kW electric motors
Sedan/Wagon,"Air Dream R AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,481.0,116.0,,Automatic,198kW and 498kW electric motors
Sedan/Wagon,"Air G Touring AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,516.0,131.0,,Automatic,178kW and 433kW electric motors
Sedan/Wagon,"Air G Touring AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,469.0,121.0,,Automatic,178kW and 433kW electric motors
Sedan/Wagon,MX-30,2022,Mazda,Electric,100.0,92.0,,Manual,81 kW electric motor
Sedan/Wagon,AMG E53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,AMG E53 4MATIC+ (Convertible),2022,Mercedes-Benz,Hybrid Electric,,,23.0,Automatic,3.0L
Sedan/Wagon,AMG E53 4MATIC+ (Coupe),2022,Mercedes-Benz,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,AMG GLE 53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,AMG GLE 53 4MATIC+ (Coupe),2022,Mercedes-Benz,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,AMG GLE 63 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,15.0,Automatic,4.0L
SUV,AMG GLE 63 S 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,16.0,Automatic,4.0L
SUV,AMG GLE 63 S 4MATIC+ (coupe),2022,Mercedes-Benz,Hybrid Electric,,,16.0,Automatic,4.0L
Sedan/Wagon,AMG GT 43 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,21.0,Automatic,3.0L
Sedan/Wagon,AMG GT 53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,21.0,Automatic,3.0L
Sedan/Wagon,C 300,2022,Mercedes-Benz,Hybrid Electric,,,29.0,Automatic,2.0L
Sedan/Wagon,C 300 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,27.0,Automatic,2.0L
Sedan/Wagon,CLS 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,E 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,E 450 4MATIC All-Terrain (wagon),2022,Mercedes-Benz,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,E 450 4MATIC (Convertible),2022,Mercedes-Benz,Hybrid Electric,,,24.0,Automatic,3.0L
